Rank,Score,Title,Company,Location,URL
1,0.5163789,Sr. Java Backend Developer(f2f interview),Axiom Software Solutions Limited,"Saint Louis, Saint Louis County",https://www.adzuna.com/details/5343826462?utm_medium=api&utm_source=183d4472
2,0.48593298,Backend Software Engineer with Security Clearance,Latitude Inc.,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5441901811?se=4otzJUSp8BG_iNIX1qUrNQ&utm_medium=api&utm_source=183d4472&v=DEDD9E7236ABCA20F18F4DE8710DD876832C054A
3,0.48296636,Senior Data Scientist with Security Clearance,Integrity First Technologies LLC,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5351213015?se=4otzJUSp8BG_iNIX1qUrNQ&utm_medium=api&utm_source=183d4472&v=21AF2D70C04F6D92E4AB626C66B71DDDF53B2B3B
4,0.47864908,DevOps Engineer with Security Clearance,Aqua IT,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5415033847?se=4otzJUSp8BG_iNIX1qUrNQ&utm_medium=api&utm_source=183d4472&v=03B2D696B31B423CBFC9E9CABE9EB59E48176709
5,0.46971777,Computer Science Teacher,GATEWAY SCIENCE ACADEMY OF SAINT LOUIS,"Saint Louis, Saint Louis County",https://www.adzuna.com/details/5430186506?utm_medium=api&utm_source=183d4472
6,0.46043557,Cyber Security Engineer with Security Clearance,CEdge Software Consultants,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5350689461?se=aNJjIkSp8BG_iNIX1qUrNQ&utm_medium=api&utm_source=183d4472&v=E9012C4F77AB8C23F9A84474B33D505B5A9A6774
7,0.45953375,"Electrical Design, Analysis and Test Engineer - (Signing Bonus Potential)",Boeing,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5446129792?se=uoP1I0Sp8BGej54AcLqpVw&utm_medium=api&utm_source=183d4472&v=AFB37A8CFD6BE6CE8161100432E1DF5D78CF069A
8,0.45953375,"Urgent Search: Design, Analysis and Test Engineer",Boeing,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5446129792?se=uoP1I0Sp8BGej54AcLqpVw&utm_medium=api&utm_source=183d4472&v=AFB37A8CFD6BE6CE8161100432E1DF5D78CF069A
9,0.45953375,"Design, Analysis and Test Engineer",Boeing,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5446129792?se=uoP1I0Sp8BGej54AcLqpVw&utm_medium=api&utm_source=183d4472&v=AFB37A8CFD6BE6CE8161100432E1DF5D78CF069A
10,0.45524284,SQL Database Administrator,"iBrain Technologies, Inc","Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5442468425?se=4otzJUSp8BG_iNIX1qUrNQ&utm_medium=api&utm_source=183d4472&v=11C9BD82961DA898F01651A3FE77796E809D0EDE
