Title,Company,Location,Category,ContractTime,Created,SalaryMin,SalaryMax,RedirectURL,FullDescription,Requirements
Computer Science Teacher,GATEWAY SCIENCE ACADEMY OF SAINT LOUIS,"Saint Louis, Saint Louis County",IT Jobs,full_time,2025-10-03T17:01:13Z,62828.16,62828.16,https://www.adzuna.com/details/5430186506?utm_medium=api&utm_source=183d4472,"Bachelor's degree in computer education, computer science and technology, or computer engineering, and 24 months of full-time experience in the job or as an ICT teacher are required. M-F, 40 hrs./wk. Mail resumes to Mustafa Icel, Gateway Science Academy of St Louis, 5049 Fyler Avenue, St. Louis, MO 63139.",
Computer Science Patent Junior Attorney (Hybrid),Avant Tech,"Saint Louis, Saint Louis County",IT Jobs,full_time,2025-10-14T12:00:25Z,240000.0,365000.0,https://www.adzuna.com/details/5447295950?utm_medium=api&utm_source=183d4472,"Avant Tech is looking for a talented Computer Science Patent Associate Attorney to join our thriving technology law practice. The successful candidate will provide sophisticated legal counsel to clients in the software, hardware, and data science sectors, focusing on patent prosecution and intellectual property strategy. This role will involve working with leading tech companies to protect innovations and navigate complex patent issues. Key Responsibilities: Prepare, file, and prosecute patent …",
SAP Security Manager,Anheuser-Busch,"Signal Hill, Saint Clair County",IT Jobs,,2025-10-04T02:34:34Z,114425.4,114425.4,https://www.adzuna.com/land/ad/5430876117?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=0EFC9DC494972A0217E52ED2167D3C8461A8A584,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"Moline Acres, Saint Louis County",IT Jobs,,2025-10-03T15:08:42Z,140498.48,140498.48,https://www.adzuna.com/land/ad/5430043367?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=D6188D5274F6F97BDFFDC8E5CC3B7CF9395669CA,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"East Carondelet, Saint Clair County",IT Jobs,,2025-10-03T15:07:15Z,111975.43,111975.43,https://www.adzuna.com/land/ad/5430028474?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=334E5E0755BBD7F4EA755DD90F8B8FA1B38B26FE,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"Riverview, Saint Louis County",IT Jobs,,2025-10-04T02:35:58Z,114903.93,114903.93,https://www.adzuna.com/land/ad/5430879745?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=66DDE8A4E1768FABBAFD9A9E8609239782009AB3,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"National Stock Yards, Saint Clair County",IT Jobs,,2025-10-03T15:07:16Z,116590.36,116590.36,https://www.adzuna.com/land/ad/5430028822?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=A65DEECB9CD75026138C026C0EE424578A4E8408,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"East Saint Louis, Saint Clair County",IT Jobs,,2025-10-04T02:34:27Z,117614.21,117614.21,https://www.adzuna.com/land/ad/5430875492?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=04BB172E0978302C36E8B0A7E42F30578C23863F,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"Wilbur Park, Saint Louis County",IT Jobs,,2025-10-03T15:08:42Z,119870.37,119870.37,https://www.adzuna.com/land/ad/5430043558?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=55B21BA057B24DF7E640FE54AE70B44DAE2FC5CA,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
SAP Security Manager,Anheuser-Busch,"Saint Louis, Saint Louis County",IT Jobs,,2025-10-07T14:53:57Z,114903.93,114903.93,https://www.adzuna.com/land/ad/5435900918?se=anzX65Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=1B3C3D5CE03413E30A0A31E6050718031996645F,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",
