Rank,Score,Title,Company,Location,RedirectURL
1,0.43821967,Sr. Java Backend Developer(f2f interview),Axiom Software Solutions Limited,"Saint Louis, Saint Louis County",https://www.adzuna.com/details/5343826462?utm_medium=api&utm_source=183d4472
2,0.43173355,Senior Data Scientist with Security Clearance,Integrity First Technologies LLC,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5351213015?se=AsOV75Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=21AF2D70C04F6D92E4AB626C66B71DDDF53B2B3B
3,0.42989755,Cloud Systems Engineer with Security Clearance,Gridiron IT Solutions,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5332019806?se=tGuB9JWq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=A961ADFEF72E7FB1D1692550ACA8A63611C0D4E8
4,0.42458332,Computer Science Teacher,GATEWAY SCIENCE ACADEMY OF SAINT LOUIS,"Saint Louis, Saint Louis County",https://www.adzuna.com/details/5430186506?utm_medium=api&utm_source=183d4472
5,0.40528765,Backend Software Engineer with Security Clearance,Latitude Inc.,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5441901811?se=AsOV75Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=DEDD9E7236ABCA20F18F4DE8710DD876832C054A
6,0.4037853,DevOps Engineer with Security Clearance,Aqua IT,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5401542111?se=AsOV75Wq8BGglN2HEt9uZw&utm_medium=api&utm_source=183d4472&v=C154B6C5E927A44547EC9965E4F04E32740ED0A8
7,0.39015517,Flight Simulator Software Developer,Premier Staffing Solution,"Saint Louis, Saint Louis County",https://www.adzuna.com/details/5275621736?utm_medium=api&utm_source=183d4472
8,0.38936847,Cyber Security Engineer with Security Clearance,CEdge Software Consultants,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5332018000?se=NiZQ7pWq8BGfOcM-IM9PUQ&utm_medium=api&utm_source=183d4472&v=C8D2433B299B34886E4570745DF2EC16170B220C
9,0.38193178,SAP Manager,Collabera,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5443680649?se=NiZQ7pWq8BGfOcM-IM9PUQ&utm_medium=api&utm_source=183d4472&v=8CD3FE9950BF35F372218182AFC8A789063BF00F
10,0.37557173,Only 24h Left! Senior Structural Analysis Engineer - F-15,Boeing,"Saint Louis, Saint Louis County",https://www.adzuna.com/land/ad/5446129435?se=NiZQ7pWq8BGfOcM-IM9PUQ&utm_medium=api&utm_source=183d4472&v=CBA98D959212F56FABC24A91A01910365A3530E0
